Order_Date,Order_Revenue,Running_Total_Revenue
"2007-01-30 00:00:00",6791.45,268857.07
"2007-01-31 00:00:00",485.00,269342.07
"2007-02-03 00:00:00",1172.32,270514.39
"2007-02-04 00:00:00",631.60,271145.99
"2007-02-05 00:00:00",2387.52,273533.51
"2007-02-06 00:00:00",454.00,273987.51
"2007-02-07 00:00:00",1078.00,275065.51
"2007-02-10 00:00:00",6679.14,281744.65
"2007-02-11 00:00:00",1792.00,283536.65
"2007-02-12 00:00:00",1549.14,285085.79
"2007-02-13 00:00:00",174.90,285260.69
"2007-02-14 00:00:00",1160.64,286421.33
"2007-02-17 00:00:00",443.40,286864.73
"2007-02-18 00:00:00",1838.20,288702.93
"2007-02-19 00:00:00",4274.78,292977.71
"2007-02-20 00:00:00",2018.50,294996.21
"2007-02-21 00:00:00",738.90,295735.11
"2007-02-24 00:00:00",2684.00,298419.11
"2007-02-25 00:00:00",2141.60,300560.71
"2007-02-26 00:00:00",3891.00,304451.71
"2007-02-27 00:00:00",1659.20,306110.91
"2007-02-28 00:00:00",1714.80,307825.71
"2007-03-03 00:00:00",156.00,307981.71
"2007-03-04 00:00:00",2322.58,310304.29
"2007-03-05 00:00:00",2518.00,312822.29
"2007-03-06 00:00:00",451.20,313273.49
"2007-03-07 00:00:00",717.60,313991.09
"2007-03-10 00:00:00",956.68,314947.77
"2007-03-11 00:00:00",3148.80,318096.57
"2007-03-12 00:00:00",1036.80,319133.37
"2007-03-13 00:00:00",1479.50,320612.87
"2007-03-14 00:00:00",1505.18,322118.05
"2007-03-17 00:00:00",738.48,322856.53
"2007-03-18 00:00:00",471.20,323327.73
"2007-03-19 00:00:00",10495.60,333823.33
"2007-03-20 00:00:00",2228.00,336051.33
"2007-03-21 00:00:00",147.00,336198.33
"2007-03-24 00:00:00",1055.00,337253.33
"2007-03-25 00:00:00",1584.00,338837.33
"2007-03-26 00:00:00",2161.70,340999.03
"2007-03-27 00:00:00",1512.00,342511.03
"2007-03-28 00:00:00",439.20,342950.23
"2007-03-31 00:00:00",3422.71,346372.94
"2007-04-01 00:00:00",851.20,347224.14
"2007-04-02 00:00:00",1520.40,348744.54
"2007-04-03 00:00:00",278.00,349022.54
"2007-04-04 00:00:00",1570.60,350593.14
"2007-04-07 00:00:00",575.00,351168.14
"2007-04-08 00:00:00",1412.00,352580.14
"2007-04-09 00:00:00",672.26,353252.40
"2007-04-10 00:00:00",816.30,354068.70
"2007-04-11 00:00:00",3437.00,357505.70
"2007-04-14 00:00:00",147.90,357653.60
"2007-04-15 00:00:00",1164.86,358818.46
"2007-04-16 00:00:00",240.00,359058.46
"2007-04-17 00:00:00",136.80,359195.26
"2007-04-18 00:00:00",7257.54,366452.80
"2007-04-21 00:00:00",525.30,366978.10
"2007-04-22 00:00:00",10565.45,377543.55
"2007-04-23 00:00:00",9921.30,387464.85
"2007-04-24 00:00:00",2733.05,390197.90
"2007-04-25 00:00:00",4150.05,394347.95
"2007-04-28 00:00:00",2314.20,396662.15
"2007-04-29 00:00:00",425.50,397087.65
"2007-04-30 00:00:00",2318.24,399405.89
"2007-05-01 00:00:00",5636.96,405042.85
"2007-05-02 00:00:00",818.40,405861.25
"2007-05-05 00:00:00",2654.40,408515.65
"2007-05-06 00:00:00",392.20,408907.85
"2007-05-07 00:00:00",946.00,409853.85
"2007-05-08 00:00:00",4290.00,414143.85
"2007-05-09 00:00:00",796.35,414940.20
"2007-05-12 00:00:00",2687.90,417628.10
"2007-05-13 00:00:00",1940.85,419568.95
"2007-05-14 00:00:00",3468.80,423037.75
"2007-05-15 00:00:00",139.80,423177.55
"2007-05-16 00:00:00",355.50,423533.05
"2007-05-19 00:00:00",12138.22,435671.27
"2007-05-20 00:00:00",469.11,436140.38
"2007-05-21 00:00:00",1921.70,438062.08
"2007-05-22 00:00:00",210.00,438272.08
"2007-05-23 00:00:00",4604.80,442876.88
"2007-05-26 00:00:00",240.10,443116.98
"2007-05-27 00:00:00",3554.28,446671.26
"2007-05-28 00:00:00",2360.60,449031.86
"2007-05-29 00:00:00",880.50,449912.36
"2007-05-30 00:00:00",3274.83,453187.19
"2007-06-02 00:00:00",2944.40,456131.59
"2007-06-03 00:00:00",1987.70,458119.29
"2007-06-04 00:00:00",2142.90,460262.19
"2007-06-05 00:00:00",520.41,460782.60
"2007-06-06 00:00:00",3916.93,464699.53
"2007-06-09 00:00:00",488.70,465188.23
"2007-06-10 00:00:00",2199.05,467387.28
"2007-06-11 00:00:00",639.90,468027.18
"2007-06-12 00:00:00",4280.00,472307.18
"2007-06-13 00:00:00",155.00,472462.18
"2007-06-16 00:00:00",890.00,473352.18
"2007-06-17 00:00:00",3015.84,476368.02
"2007-06-18 00:00:00",1501.09,477869.11
"2007-06-19 00:00:00",2846.30,480715.41
"2007-06-20 00:00:00",2147.40,482862.81
"2007-06-23 00:00:00",1407.45,484270.26
"2007-06-24 00:00:00",477.00,484747.26
"2007-06-25 00:00:00",317.75,485065.01
"2007-06-26 00:00:00",1323.75,486388.76
"2007-06-27 00:00:00",330.00,486718.76
"2007-06-30 00:00:00",2831.25,489550.01
"2007-07-01 00:00:00",142.50,489692.51
"2007-07-02 00:00:00",831.18,490523.69
"2007-07-03 00:00:00",3120.00,493643.69
"2007-07-04 00:00:00",72.00,493715.69
"2007-07-07 00:00:00",1913.50,495629.19
"2007-07-08 00:00:00",516.47,496145.66
"2007-07-09 00:00:00",2559.90,498705.56
"2007-07-10 00:00:00",4725.00,503430.56
"2007-07-11 00:00:00",1898.96,505329.52
"2007-07-14 00:00:00",2388.50,507718.02
"2007-07-15 00:00:00",493.00,508211.02
"2007-07-16 00:00:00",2764.80,510975.82
"2007-07-17 00:00:00",48.75,511024.57
"2007-07-18 00:00:00",1713.85,512738.42
"2007-07-21 00:00:00",4109.71,516848.13
"2007-07-22 00:00:00",7605.80,524453.93
"2007-07-23 00:00:00",1064.00,525517.93
"2007-07-24 00:00:00",424.00,525941.93
"2007-07-25 00:00:00",1107.25,527049.18
"2007-07-28 00:00:00",6375.00,533424.18
"2007-07-29 00:00:00",817.20,534241.38
"2007-07-30 00:00:00",120.00,534361.38
"2007-07-31 00:00:00",6209.51,540570.89
"2007-08-01 00:00:00",2697.50,543268.39
"2007-08-04 00:00:00",1260.00,544528.39
"2007-08-05 00:00:00",816.00,545344.39
"2007-08-06 00:00:00",560.00,545904.39
"2007-08-07 00:00:00",2730.19,548634.58
"2007-08-08 00:00:00",479.75,549114.33
"2007-08-11 00:00:00",2689.35,551803.68
"2007-08-12 00:00:00",3225.05,555028.73
"2007-08-13 00:00:00",903.60,555932.33
"2007-08-14 00:00:00",644.80,556577.13
"2007-08-15 00:00:00",10496.09,567073.22
"2007-08-18 00:00:00",1326.23,568399.45
"2007-08-19 00:00:00",3391.44,571790.89
"2007-08-20 00:00:00",3220.05,575010.94
"2007-08-21 00:00:00",708.75,575719.69
"2007-08-22 00:00:00",2750.00,578469.69
"2007-08-25 00:00:00",2186.30,580655.99
"2007-08-26 00:00:00",1535.00,582190.99
"2007-08-27 00:00:00",2082.00,584272.99
"2007-08-28 00:00:00",1806.38,586079.37
"2007-08-29 00:00:00",1779.20,587858.57
"2007-09-01 00:00:00",716.64,588575.21
"2007-09-02 00:00:00",1684.98,590260.19
"2007-09-03 00:00:00",154.40,590414.59
"2007-09-04 00:00:00",4975.82,595390.41
"2007-09-05 00:00:00",5691.62,601082.03
"2007-09-08 00:00:00",1701.00,602783.03
"2007-09-09 00:00:00",687.60,603470.63
"2007-09-10 00:00:00",3218.79,606689.42
"2007-09-11 00:00:00",1295.00,607984.42
"2007-09-12 00:00:00",6203.74,614188.16
"2007-09-15 00:00:00",1195.28,615383.44
"2007-09-16 00:00:00",2301.75,617685.19
"2007-09-17 00:00:00",4735.35,622420.54
"2007-09-18 00:00:00",457.35,622877.89
"2007-09-19 00:00:00",1423.00,624300.89
"2007-09-22 00:00:00",1348.22,625649.11
"2007-09-23 00:00:00",5916.50,631565.61
"2007-09-24 00:00:00",1261.88,632827.49
"2007-09-25 00:00:00",1662.90,634490.39
"2007-09-26 00:00:00",1831.00,636321.39
"2007-09-29 00:00:00",801.10,637122.49
"2007-09-30 00:00:00",6365.35,643487.84
"2007-10-01 00:00:00",3633.10,647120.94
"2007-10-02 00:00:00",862.50,647983.44
"2007-10-03 00:00:00",11042.80,659026.24
"2007-10-06 00:00:00",6896.20,665922.44
"2007-10-07 00:00:00",642.00,666564.44
"2007-10-08 00:00:00",1801.43,668365.87
"2007-10-09 00:00:00",3550.45,671916.32
"2007-10-10 00:00:00",1638.40,673554.72
"2007-10-13 00:00:00",3194.50,676749.22
"2007-10-14 00:00:00",3140.50,679889.72
"2007-10-15 00:00:00",378.00,680267.72
"2007-10-16 00:00:00",3534.00,683801.72
"2007-10-17 00:00:00",3604.40,687406.12
"2007-10-20 00:00:00",93.50,687499.62
"2007-10-21 00:00:00",5685.18,693184.80
"2007-10-22 00:00:00",5033.65,698218.45
"2007-10-23 00:00:00",1296.00,699514.45
"2007-10-24 00:00:00",1976.75,701491.20
"2007-10-27 00:00:00",4307.25,705798.45
"2007-10-28 00:00:00",550.00,706348.45
"2007-10-29 00:00:00",2493.88,708842.33
"2007-10-30 00:00:00",1106.95,709949.28
"2007-10-31 00:00:00",287.80,710237.08
"2007-11-03 00:00:00",2279.50,712516.58
"2007-11-04 00:00:00",3146.75,715663.33
"2007-11-05 00:00:00",484.27,716147.60
"2007-11-06 00:00:00",2250.50,718398.10
"2007-11-07 00:00:00",2957.35,721355.45
"2007-11-10 00:00:00",536.40,721891.85
"2007-11-11 00:00:00",1136.80,723028.65
"2007-11-12 00:00:00",292.35,723321.00
"2007-11-13 00:00:00",1416.00,724737.00
"2007-11-14 00:00:00",3346.00,728083.00
"2007-11-17 00:00:00",1055.20,729138.20
"2007-11-18 00:00:00",4529.80,733668.00
"2007-11-19 00:00:00",4224.55,737892.55
"2007-11-20 00:00:00",3276.00,741168.55
"2007-11-21 00:00:00",1590.56,742759.11
"2007-11-24 00:00:00",1883.48,744642.59
"2007-11-25 00:00:00",143.20,744785.79
"2007-11-26 00:00:00",1948.50,746734.29
"2007-11-27 00:00:00",5072.00,751806.29
"2007-11-28 00:00:00",1964.60,753770.89
"2007-12-01 00:00:00",2917.00,756687.89
"2007-12-02 00:00:00",4844.00,761531.89
"2007-12-03 00:00:00",2902.00,764433.89
"2007-12-04 00:00:00",1515.60,765949.49
"2007-12-05 00:00:00",2338.00,768287.49
"2007-12-08 00:00:00",3161.28,771448.77
"2007-12-09 00:00:00",236.25,771685.02
"2007-12-10 00:00:00",3947.22,775632.24
"2007-12-11 00:00:00",2899.15,778531.39
"2007-12-12 00:00:00",228.00,778759.39
"2007-12-15 00:00:00",6859.28,785618.67
"2007-12-16 00:00:00",2151.50,787770.17
"2007-12-17 00:00:00",988.38,788758.55
"2007-12-18 00:00:00",3318.00,792076.55
"2007-12-19 00:00:00",4153.84,796230.39
"2007-12-22 00:00:00",5141.00,801371.39
"2007-12-23 00:00:00",2229.61,803601.00
"2007-12-24 00:00:00",2663.86,806264.86
"2007-12-25 00:00:00",2761.36,809026.22
"2007-12-26 00:00:00",3469.04,812495.26
"2007-12-29 00:00:00",5969.67,818464.93
"2007-12-30 00:00:00",6246.41,824711.34
"2007-12-31 00:00:00",458.00,825169.34
"2008-01-01 00:00:00",1738.00,826907.34
"2008-01-02 00:00:00",2544.80,829452.14
"2008-01-05 00:00:00",2430.85,831882.99
"2008-01-06 00:00:00",19399.30,851282.29
"2008-01-07 00:00:00",2450.00,853732.29
"2008-01-08 00:00:00",915.90,854648.19
"2008-01-09 00:00:00",4107.56,858755.75
"2008-01-12 00:00:00",1573.00,860328.75
"2008-01-13 00:00:00",4670.00,864998.75
"2008-01-14 00:00:00",3159.51,868158.26
"2008-01-15 00:00:00",3185.44,871343.70
"2008-01-16 00:00:00",5770.00,877113.70
"2008-01-19 00:00:00",2977.13,880090.83
"2008-01-20 00:00:00",5556.00,885646.83
"2008-01-21 00:00:00",4706.70,890353.53
"2008-01-22 00:00:00",6043.92,896397.45
"2008-01-23 00:00:00",2528.32,898925.77
"2008-01-26 00:00:00",5587.00,904512.77
"2008-01-27 00:00:00",5819.39,910332.16
"2008-01-28 00:00:00",2708.22,913040.38
"2008-01-29 00:00:00",2246.69,915287.07
"2008-01-30 00:00:00",4104.40,919391.47
"2008-02-02 00:00:00",17110.65,936502.12
"2008-02-03 00:00:00",1194.60,937696.72
"2008-02-04 00:00:00",3710.60,941407.32
"2008-02-05 00:00:00",4037.69,945445.01
"2008-02-06 00:00:00",1356.35,946801.36
"2008-02-09 00:00:00",2872.13,949673.49
"2008-02-10 00:00:00",3650.30,953323.79
"2008-02-11 00:00:00",1042.64,954366.43
"2008-02-12 00:00:00",2623.07,956989.50
"2008-02-13 00:00:00",3197.50,960187.00
"2008-02-16 00:00:00",12845.10,973032.10
"2008-02-17 00:00:00",2458.93,975491.03
"2008-02-18 00:00:00",14634.61,990125.64
"2008-02-19 00:00:00",11585.74,1001711.38
"2008-02-20 00:00:00",186.15,1001897.53
"2008-02-23 00:00:00",1797.93,1003695.46
"2008-02-24 00:00:00",3198.30,1006893.76
"2008-02-25 00:00:00",536.00,1007429.76
"2008-02-26 00:00:00",9613.30,1017043.06
"2008-02-27 00:00:00",1763.70,1018806.76
"2008-03-02 00:00:00",2936.19,1021742.95
"2008-03-03 00:00:00",3817.30,1025560.25
"2008-03-04 00:00:00",2825.25,1028385.50
"2008-03-05 00:00:00",2112.25,1030497.75
"2008-03-06 00:00:00",5763.93,1036261.68
"2008-03-09 00:00:00",1575.50,1037837.18
"2008-03-10 00:00:00",4014.18,1041851.36
"2008-03-11 00:00:00",5642.75,1047494.11
"2008-03-12 00:00:00",2677.83,1050171.94
"2008-03-13 00:00:00",7004.25,1057176.19
"2008-03-16 00:00:00",5481.22,1062657.41
"2008-03-17 00:00:00",2410.94,1065068.35
"2008-03-18 00:00:00",2675.45,1067743.80
"2008-03-19 00:00:00",5027.05,1072770.85
"2008-03-20 00:00:00",3998.96,1076769.81
"2008-03-23 00:00:00",2426.40,1079196.21
"2008-03-24 00:00:00",2500.11,1081696.32
"2008-03-25 00:00:00",2068.50,1083764.82
"2008-03-26 00:00:00",8349.70,1092114.52
"2008-03-27 00:00:00",17792.90,1109907.42
"2008-03-30 00:00:00",6053.13,1115960.55
"2008-03-31 00:00:00",7700.40,1123660.95
"2008-04-01 00:00:00",11549.89,1135210.84
"2008-04-02 00:00:00",2696.50,1137907.34
"2008-04-03 00:00:00",3768.95,1141676.29
"2008-04-06 00:00:00",5809.85,1147486.14
"2008-04-07 00:00:00",1211.07,1148697.21
"2008-04-08 00:00:00",7931.30,1156628.51
"2008-04-09 00:00:00",4764.80,1161393.31
"2008-04-10 00:00:00",1357.03,1162750.34
"2008-04-13 00:00:00",8401.00,1171151.34
"2008-04-14 00:00:00",9840.64,1180991.98
"2008-04-15 00:00:00",3266.81,1184258.79
"2008-04-16 00:00:00",4324.53,1188583.32
"2008-04-17 00:00:00",27143.85,1215727.17
"2008-04-20 00:00:00",3985.90,1219713.07
"2008-04-21 00:00:00",3882.60,1223595.67
"2008-04-22 00:00:00",2588.75,1226184.42
"2008-04-23 00:00:00",3386.90,1229571.32
"2008-04-24 00:00:00",1616.48,1231187.80
"2008-04-27 00:00:00",5233.00,1236420.80
"2008-04-28 00:00:00",5772.50,1242193.30
"2008-04-29 00:00:00",2741.00,1244934.30
"2008-04-30 00:00:00",2525.35,1247459.65
"2008-05-01 00:00:00",5448.57,1252908.22
"2008-05-04 00:00:00",2473.93,1255382.15
"2008-05-05 00:00:00",7632.48,1263014.63
"2008-05-06 00:00:00",2778.66,1265793.29
